"","Dataset","Model","FS_Method","RA","CLR","logRA","PA"
"213","CDI","LogisticRegression","Relief50",0.852242212674544,0.912309941520468,0.903669292278315,0.898300811552691
"214","CDI","LogisticRegression","RF100",0.803812209094164,0.896517782551617,0.903046007876835,0.913658551139754
"215","CDI","LogisticRegression","RF50",0.823579782790309,0.897889963002745,0.900645661773481,0.904592731829574
"216","CDI","LogisticRegression","VAE",0.606001163623344,0.861704310379122,0.676387844611529,0.840410948004933
"217","CDI","RandomForest","AE100",0.772780463062418,0.860091548315233,0.833324084019573,0.842367128137805
"218","CDI","RandomForest","AE50",0.772176696702073,0.86754642061503,0.713314983888292,0.848430202490353
"219","CDI","RandomForest","LASSO",0.903237856546127,0.89750343119704,0.917782253252178,0.918491466762143
"220","CDI","RandomForest","MIFS100",0.916920276882683,0.889473385845566,0.902679018976011,0.910585541234038
"221","CDI","RandomForest","MIFS50",0.910698472371405,0.894598400763814,0.903370927318296,0.903940058479532
"222","CDI","RandomForest","mRMR100",0.915399063134026,0.898020348490273,0.904249910490512,0.914008682420337
"223","CDI","RandomForest","mRMR50",0.911174812030075,0.897437641723356,0.907742272347536,0.908819220670724
"224","CDI","RandomForest","Relief100",0.901818534431316,0.895486334884831,0.902616063969448,0.910384144886025
"225","CDI","RandomForest","Relief50",0.895379818594104,0.898583064804869,0.907789115646258,0.913267991407089
"226","CDI","RandomForest","RF100",0.920325665353861,0.882172693638859,0.900985201097983,0.914260502446593
"227","CDI","RandomForest","RF50",0.921784520825874,0.888230099057167,0.904770557345745,0.913764172335601
"228","CDI","RandomForest","VAE",0.717825963718821,0.845062059911684,0.692558927079604,0.825206667462307
"229","CDI","SVM","AE100",0.774006743048096,0.863530552571906,0.853291512511437,0.848860245852727
"230","CDI","SVM","AE50",0.765010964912281,0.86411977364045,0.7498951495803,0.880704688308072
"231","CDI","SVM","LASSO",0.716665622389307,0.904913175796634,0.906587599952262,0.914285415920754
"232","CDI","SVM","MIFS100",0.81015127103473,0.911518677646497,0.902214763098222,0.902263694951665
"233","CDI","SVM","MIFS50",0.83547081990691,0.902543859649123,0.905028941401122,0.90031537176274
"234","CDI","SVM","mRMR100",0.832633369137128,0.89640082348729,0.896017722878625,0.895650137247882
"235","CDI","SVM","mRMR50",0.86546858216971,0.890549140708915,0.900067132116004,0.899604069698055
"236","CDI","SVM","Relief100",0.828189521422604,0.887988423439551,0.90375044754744,0.899806062775988
"237","CDI","SVM","Relief50",0.826148705096074,0.894464434896766,0.903956021004893,0.908364064924215
"238","CDI","SVM","RF100",0.786989199188447,0.892931584914668,0.898239348370927,0.906666666666667
"239","CDI","SVM","RF50",0.788836675020886,0.892069011815253,0.897780015514978,0.910439789951068
"240","CDI","SVM","VAE",0.692979000079564,0.848316202211879,0.621083114532363,0.812458179178104
"241","CIR","Boosting","AE100",0.569187878787879,0.649333333333333,0.654909090909091,0.663539393939394
"242","CIR","Boosting","AE50",0.603393939393939,0.749236363636364,0.528654545454545,0.62809696969697
"243","CIR","Boosting","LASSO",0.72370303030303,0.758,0.859454545454545,0.75649696969697
"244","CIR","Boosting","MIFS100",0.721133333333333,0.720587878787879,0.7716,0.650327272727273
"245","CIR","Boosting","MIFS50",0.662515151515152,0.681654545454546,0.761527272727273,0.665933333333333
"246","CIR","Boosting","mRMR100",0.836163636363636,0.732309090909091,0.830575757575758,0.73370303030303
"247","CIR","Boosting","mRMR50",0.824078787878788,0.745012121212121,0.829812121212121,0.733218181818182
"248","CIR","Boosting","Relief100",0.803060606060606,0.706775757575758,0.79349696969697,0.749915151515152
"249","CIR","Boosting","Relief50",0.819727272727273,0.713187878787879,0.782878787878788,0.707733333333333
"250","CIR","Boosting","RF100",0.823684848484848,0.712351515151515,0.841363636363636,0.773284848484848
"251","CIR","Boosting","RF50",0.836569696969697,0.720218181818182,0.811539393939394,0.735557575757576
"252","CIR","Boosting","VAE",0.543466666666667,0.738981818181818,0.415612121212121,0.521793939393939
"253","CIR","KNN","AE100",0.454921212121212,0.648254545454546,0.618569696969697,0.694351515151515
"254","CIR","KNN","AE50",0.432933333333333,0.570933333333333,0.677878787878788,0.620569696969697
"255","CIR","KNN","LASSO",0.570327272727273,0.7828,0.811515151515152,0.750460606060606
"256","CIR","KNN","MIFS100",0.645424242424242,0.669709090909091,0.682842424242424,0.663993939393939
"257","CIR","KNN","MIFS50",0.664321212121212,0.615666666666667,0.678727272727273,0.64889696969697
"258","CIR","KNN","mRMR100",0.520636363636364,0.667175757575758,0.698369696969697,0.675157575757576
"259","CIR","KNN","mRMR50",0.556612121212121,0.713624242424242,0.729781818181818,0.721430303030303
"260","CIR","KNN","Relief100",0.581666666666667,0.652315151515152,0.587454545454545,0.671987878787879
"261","CIR","KNN","Relief50",0.629666666666667,0.634054545454545,0.612806060606061,0.695890909090909
"262","CIR","KNN","RF100",0.577042424242424,0.7174,0.702157575757576,0.637890909090909
"263","CIR","KNN","RF50",0.624593939393939,0.742842424242424,0.739769696969697,0.695375757575758
"264","CIR","KNN","VAE",0.574133333333333,0.592072727272727,0.345866666666667,0.50190303030303
"265","CIR","LogisticRegression","AE100",0.502327272727273,0.660218181818182,0.776727272727273,0.814666666666667
"266","CIR","LogisticRegression","AE50",0.534327272727273,0.654157575757576,0.575587878787879,0.718690909090909
"267","CIR","LogisticRegression","LASSO",0.693054545454545,0.810266666666667,0.823175757575758,0.77750303030303
"268","CIR","LogisticRegression","MIFS100",0.735672727272727,0.731769696969697,0.72870303030303,0.700145454545455
"269","CIR","LogisticRegression","MIFS50",0.666830303030303,0.694187878787879,0.729357575757576,0.67500606060606
"270","CIR","LogisticRegression","mRMR100",0.765187878787879,0.824484848484848,0.809430303030303,0.824448484848485
"271","CIR","LogisticRegression","mRMR50",0.797806060606061,0.837139393939394,0.798448484848485,0.805272727272727
"272","CIR","LogisticRegression","Relief100",0.674424242424242,0.741006060606061,0.702824242424242,0.779466666666667
"273","CIR","LogisticRegression","Relief50",0.671757575757576,0.747909090909091,0.705890909090909,0.770569696969697
"274","CIR","LogisticRegression","RF100",0.701236363636364,0.746824242424242,0.772521212121212,0.797515151515152
"275","CIR","LogisticRegression","RF50",0.734654545454545,0.742933333333333,0.745054545454546,0.798860606060606
"276","CIR","LogisticRegression","VAE",0.558763636363636,0.523345454545455,0.395757575757576,0.565575757575758
"277","CIR","RandomForest","AE100",0.432836363636364,0.739987878787879,0.722763636363636,0.770909090909091
"278","CIR","RandomForest","AE50",0.465054545454545,0.759830303030303,0.622472727272727,0.72649696969697
"279","CIR","RandomForest","LASSO",0.765484848484849,0.789836363636364,0.836775757575758,0.784060606060606
