Dataset,Model,AUC,Method,Normalization
CD2,Boosting,0.7662108262108263,RareQ5,CLR
HIV,Boosting,0.7210649350649351,RareQ5,CLR
IBD1,Boosting,0.7816153846153846,RareQ5,CLR
IBD2,Boosting,0.6635042735042735,RareQ5,CLR
MHE,Boosting,0.4873999999999999,RareQ5,CLR
OB,Boosting,0.7552949354168866,RareQ5,CLR
PAR1,Boosting,0.6638733647305076,RareQ5,CLR
PAR2,Boosting,0.7249765182186235,RareQ5,CLR
PAR3,Boosting,0.7467720097146326,RareQ5,CLR
ART,Boosting,0.5422892156862745,RareQ5,CLR
CDI,KNN,0.7189035509362549,RareQ5,CLR
CIR,KNN,0.5426222222222222,RareQ5,CLR
CRC1,KNN,0.570541925215428,RareQ5,CLR
CRC2,KNN,0.5891717171717172,RareQ5,CLR
CD1,KNN,0.6320555555555556,RareQ5,CLR
CD2,KNN,0.6574358974358974,RareQ5,CLR
HIV,KNN,0.700551948051948,RareQ5,CLR
IBD1,KNN,0.6443846153846153,RareQ5,CLR
IBD2,KNN,0.5860897435897435,RareQ5,CLR
MHE,KNN,0.5721,RareQ5,CLR
OB,KNN,0.7759532608313096,RareQ5,CLR
PAR1,KNN,0.4920847723704867,RareQ5,CLR
PAR2,KNN,0.5496072874493927,RareQ5,CLR
PAR3,KNN,0.6200680024286581,RareQ5,CLR
ART,KNN,0.4480343137254901,RareQ5,CLR
CDI,LogisticRegression,0.915636574703887,RareQ5,CLR
CIR,LogisticRegression,0.7149333333333332,RareQ5,CLR
CRC1,LogisticRegression,0.6650893193944876,RareQ5,CLR
CRC2,LogisticRegression,0.7845858585858586,RareQ5,CLR
CD1,LogisticRegression,0.8292777777777777,RareQ5,CLR
CD2,LogisticRegression,0.8137321937321939,RareQ5,CLR
HIV,LogisticRegression,0.823478158205431,RareQ5,CLR
IBD1,LogisticRegression,0.7492307692307691,RareQ5,CLR
IBD2,LogisticRegression,0.6031623931623932,RareQ5,CLR
MHE,LogisticRegression,0.6958,RareQ5,CLR
OB,LogisticRegression,0.8938255376060253,RareQ5,CLR
PAR1,LogisticRegression,0.7166216640502354,RareQ5,CLR
PAR2,LogisticRegression,0.7356259109311742,RareQ5,CLR
PAR3,LogisticRegression,0.7775543412264722,RareQ5,CLR
ART,LogisticRegression,0.6232450980392157,RareQ5,CLR
CDI,RandomForest,0.8537115536933244,RareQ5,CLR
CIR,RandomForest,0.5469333333333334,RareQ5,CLR
CRC1,RandomForest,0.6456769279849673,RareQ5,CLR
CRC2,RandomForest,0.5985959595959596,RareQ5,CLR
CD1,RandomForest,0.6446060606060606,RareQ5,CLR
CD2,RandomForest,0.737948717948718,RareQ5,CLR
HIV,RandomForest,0.7039374262101535,RareQ5,CLR
IBD1,RandomForest,0.7756923076923077,RareQ5,CLR
IBD2,RandomForest,0.6168945868945869,RareQ5,CLR
MHE,RandomForest,0.5772999999999999,RareQ5,CLR
OB,RandomForest,0.8256284975187413,RareQ5,CLR
PAR1,RandomForest,0.4773516483516483,RareQ5,CLR
PAR2,RandomForest,0.6857417004048583,RareQ5,CLR
PAR3,RandomForest,0.6860359744990892,RareQ5,CLR
ART,RandomForest,0.5738725490196078,RareQ5,CLR
CDI,SVM,0.9133216036954404,RareQ5,CLR
CIR,SVM,0.6808888888888889,RareQ5,CLR
CRC1,SVM,0.6619605112779845,RareQ5,CLR
CRC2,SVM,0.6708080808080809,RareQ5,CLR
CD1,SVM,0.8309343434343434,RareQ5,CLR
CD2,SVM,0.8284900284900284,RareQ5,CLR
HIV,SVM,0.8449043683589137,RareQ5,CLR
IBD1,SVM,0.7493846153846152,RareQ5,CLR
IBD2,SVM,0.6061823361823362,RareQ5,CLR
MHE,SVM,0.6722000000000001,RareQ5,CLR
OB,SVM,0.915580192165558,RareQ5,CLR
PAR1,SVM,0.5484908424908426,RareQ5,CLR
PAR2,SVM,0.7445214574898786,RareQ5,CLR
PAR3,SVM,0.7721270491803278,RareQ5,CLR
ART,SVM,0.5549460784313726,RareQ5,CLR
CDI,Boosting,0.9209115049528585,None,LogTSS
CIR,Boosting,0.8416848484848484,None,LogTSS
CRC1,Boosting,0.627909551755327,None,LogTSS
CRC2,Boosting,0.6436632996632996,None,LogTSS
CD1,Boosting,0.7549230769230769,None,LogTSS
CD2,Boosting,0.7933204806889016,None,LogTSS
HIV,Boosting,0.7302777925367054,None,LogTSS
IBD1,Boosting,0.7851538461538462,None,LogTSS
IBD2,Boosting,0.6227448107448107,None,LogTSS
MHE,Boosting,0.727339393939394,None,LogTSS
