,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
379,IBD1,SVM,0.7458021978021978,0.1099090785826388,0.731812865497076,0.8249634647369385,Relief100
380,IBD2,RandomForest,0.6486080586080587,0.1105219199766027,0.6163636363636363,39.78462695121765,Relief100
381,IBD2,Boosting,0.591059829059829,0.1257626730197998,0.5777075098814229,0.8792250442504883,Relief100
382,IBD2,KNN,0.6576727716727717,0.1051337976472051,0.58600790513834,0.6208354377746582,Relief100
383,IBD2,LogisticRegression,0.6783101343101343,0.0980565935911499,0.6162055335968379,0.7648168754577637,Relief100
384,IBD2,SVM,0.6941807081807083,0.120877999427464,0.6124110671936759,0.515122594833374,Relief100
385,MHE,RandomForest,0.7658363636363635,0.1064745784185273,0.6998333333333333,37.424100666046144,Relief100
386,MHE,Boosting,0.7603515151515151,0.1250498649483462,0.6868333333333334,1.2754807567596436,Relief100
387,MHE,KNN,0.4842181818181819,0.1789321230144678,0.3691666666666667,1.1148079776763915,Relief100
388,MHE,LogisticRegression,0.4603999999999999,0.1623005345271707,0.4828333333333333,1.3760883331298828,Relief100
389,MHE,SVM,0.4489636363636364,0.1634028281909151,0.476,0.9094150733947752,Relief100
390,ART,RandomForest,0.6057254901960785,0.1153876401031444,0.7194466403162054,236.68243486404415,Relief100
391,ART,Boosting,0.5871372549019608,0.1091173242737466,0.712411067193676,3.183288259506225,Relief100
392,ART,KNN,0.5146797385620915,0.1053087797064355,0.7545454545454546,3.595955848693848,Relief100
393,ART,LogisticRegression,0.6717124183006535,0.1316916126761534,0.7313833992094863,4.461675138473511,Relief100
394,ART,SVM,0.6292810457516339,0.1356500008183929,0.726403162055336,2.822815055847168,Relief100
395,CRC1,RandomForest,0.6728081655833913,0.0551549116454108,0.6404081632653061,25.122276134490967,MIFS50
396,CRC1,Boosting,0.6298937899216817,0.043970308685103,0.5910204081632653,1.7642645263671874,MIFS50
397,CRC1,KNN,0.6095287786682373,0.053262505547894,0.5816326530612245,0.4640518760681152,MIFS50
398,CRC1,LogisticRegression,0.6143967312425064,0.0485828057114893,0.5722448979591837,0.5754318046569824,MIFS50
399,CRC1,SVM,0.6184429404794458,0.0518001255500876,0.5644897959183673,0.4964685916900634,MIFS50
405,CRC2,RandomForest,0.6758451178451178,0.1233253142181489,0.6298095238095238,4.04024751663208,MIFS50
406,CRC2,Boosting,0.6397845117845118,0.1032393262739375,0.618,0.3196364498138427,MIFS50
407,CRC2,KNN,0.7158249158249158,0.0931456516152684,0.6457142857142857,0.1067146682739257,MIFS50
408,CRC2,LogisticRegression,0.7403097643097644,0.0924923005050213,0.6507619047619047,0.1384571170806884,MIFS50
409,CRC2,SVM,0.7364781144781145,0.100043769627302,0.6376190476190476,0.0964234542846679,MIFS50
410,CD1,RandomForest,0.7240849358974359,0.0983328414629743,0.6514285714285714,10.30777151107788,MIFS50
411,CD1,Boosting,0.7352419871794872,0.0767895934522219,0.6857142857142857,0.5475884246826171,MIFS50
412,CD1,KNN,0.7579519230769232,0.082906744609187,0.6857142857142857,0.2326784801483154,MIFS50
413,CD1,LogisticRegression,0.7856570512820514,0.0740835624093741,0.7214285714285714,0.2799080371856689,MIFS50
414,CD1,SVM,0.78525,0.0859534951494258,0.6742857142857143,0.2033974170684814,MIFS50
415,CD2,RandomForest,0.7928487886382622,0.0587505664256669,0.7,10.203689575195312,MIFS50
416,CD2,Boosting,0.7928809202493412,0.0643243485265243,0.71625,0.5361120796203613,MIFS50
417,CD2,KNN,0.796426000899685,0.0714364423044464,0.71625,0.236461124420166,MIFS50
418,CD2,LogisticRegression,0.8370503181029495,0.060003867872105,0.76625,0.2870739269256592,MIFS50
419,CD2,SVM,0.8309983291562238,0.0689197718414512,0.75125,0.2097302532196044,MIFS50
420,PAR1,RandomForest,0.6451428571428572,0.0903988307538481,0.596,24.946519784927368,MIFS50
421,PAR1,Boosting,0.6172444444444445,0.0860050902300407,0.5851034482758621,0.6860917282104492,MIFS50
422,PAR1,KNN,0.5903936507936508,0.0800335545654883,0.5486896551724137,0.4199723529815674,MIFS50
423,PAR1,LogisticRegression,0.5980698412698413,0.0986233861479542,0.5781149425287356,0.5028801822662353,MIFS50
424,PAR1,SVM,0.5199238095238096,0.130737829974514,0.5533793103448276,0.3449067306518554,MIFS50
425,PAR2,RandomForest,0.6613164130359253,0.0762198298304153,0.6300316598824062,21.164548082351686,MIFS50
426,PAR2,Boosting,0.649991279271767,0.0502343497642845,0.6347987336047037,1.2750161170959473,MIFS50
427,PAR2,KNN,0.6358674866235842,0.0671301817025512,0.6114518317503392,0.3971288394927978,MIFS50
428,PAR2,LogisticRegression,0.6638307275380445,0.0692549697431258,0.6186612392582542,0.484151496887207,MIFS50
429,PAR2,SVM,0.6551509276631227,0.0750780178149383,0.6108005427408412,0.3767818832397461,MIFS50
430,PAR3,RandomForest,0.7379725109725109,0.0442024701378684,0.6772976121141526,44.40953754425049,MIFS50
431,PAR3,Boosting,0.712765217140217,0.0408822774329248,0.6757289846631722,1.866898775100708,MIFS50
432,PAR3,KNN,0.6948080243705244,0.0518657032931654,0.6615298000388274,0.7517124271392822,MIFS50
433,PAR3,LogisticRegression,0.7206355971355972,0.056217196178187,0.6785245583381868,0.8934345912933349,MIFS50
434,PAR3,SVM,0.7231354094479094,0.0580351959481906,0.6627218015919238,0.700919885635376,MIFS50
